"country_name","region","income_group","year","coverage","cancer_prevented","deaths_prevented","assumption_type","possible_cancer_cases","possible_cancer_deaths"
"Comoros","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",328.71,253.06
"Cabo Verde","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",84.53,75.54
"Costa Rica","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",358.22,319.4
"Cyprus","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",36.29,44.97
"Czech Republic","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",362.06,218.22
"Germany","Europe & Central Asia","High income",2010,0.27,684.95,342.87,"Historical Results",2588.61,1295.81
"Djibouti","Middle East & North Africa","Lower middle income",2010,0,0,0,"Historical Results",103.73,82.78
"Denmark","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",287.79,133.21
"Dominican Republic","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",2033.16,1656.82
"Algeria","Middle East & North Africa","Lower middle income",2010,0,0,0,"Historical Results",2516.14,1646.15
"Ecuador","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",3108.5,2177.08
"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income",2010,0,0,0,"Historical Results",2872,2154.85
"Spain","Europe & Central Asia","High income",2010,0.59,636.11,315.97,"Historical Results",1100.16,546.47
"Estonia","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",93.01,32.45
"Ethiopia","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",20903.42,16844.55
"Finland","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",122.56,53.34
"Fiji","East Asia & Pacific","Upper middle income",2010,0,0,0,"Historical Results",204.84,166.29
"France","Europe & Central Asia","High income",2010,0.25,640.96,304.02,"Historical Results",2616.15,1240.91
"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",29.92,22.9
"Gabon","Sub-Saharan Africa","Upper middle income",2010,0,0,0,"Historical Results",456.88,278.32
"United Kingdom","Europe & Central Asia","High income",2010,0.78,1884.17,693.36,"Historical Results",2464.9,907.07
"Georgia","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",232.88,153.73
"Ghana","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",7140.19,5189.58
"Guinea","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",4995.98,3993.43
"Gambia, The","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",915.38,817.56
"Guinea-Bissau","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",543.79,441.23
"Equatorial Guinea","Sub-Saharan Africa","Upper middle income",2010,0,0,0,"Historical Results",209.16,137.69
"Greece","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",463.74,216.54
"Guatemala","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",3802.54,2728.45
"Guyana","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",226.38,142.59
"Honduras","Latin America & Caribbean","Lower middle income",2010,0,0,0,"Historical Results",1690.12,1160.55
"Croatia","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",226.23,112.15
"Haiti","Latin America & Caribbean","Lower middle income",2010,0,0,0,"Historical Results",1508.75,1249.75
"Hungary","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",679.52,286.52
"Indonesia","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",49702.73,35334.69
"India","South Asia","Lower middle income",2010,0,0,0,"Historical Results",204501.17,146636.35
"Ireland","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",244.77,104.5
"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income",2010,0,0,0,"Historical Results",1824.63,1517.78
"Iraq","Middle East & North Africa","Upper middle income",2010,0,0,0,"Historical Results",762.88,589.09
"Iceland","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",12.21,7.64
"Israel","Middle East & North Africa","High income",2010,0,0,0,"Historical Results",304.76,209.28
"Italy","Europe & Central Asia","High income",2010,0.45,671.63,252.78,"Historical Results",1522.97,573.2
"Jamaica","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",552.45,402.83
"Jordan","Middle East & North Africa","Upper middle income",2010,0,0,0,"Historical Results",286.82,228.61
"Japan","East Asia & Pacific","High income",2010,0,0,0,"Historical Results",6703.8,2448.4
"Kazakhstan","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",1453.08,759
"Kenya","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",12975,9144.43
"Kyrgyz Republic","Europe & Central Asia","Lower middle income",2010,0,0,0,"Historical Results",719.22,499.74
"Cambodia","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",1922.83,1366.23
"Kiribati","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",35.23,28.83
"Korea, Rep.","East Asia & Pacific","High income",2010,0,0,0,"Historical Results",2397.07,1286.36
"Kuwait","Middle East & North Africa","High income",2010,0,0,0,"Historical Results",57.72,42.57
"Lao PDR","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",779.97,530.77
"Lebanon","Middle East & North Africa","Lower middle income",2010,0,0,0,"Historical Results",212.37,151.91
"Liberia","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",1622.39,1331.77
"Libya","Middle East & North Africa","Upper middle income",2010,0,0,0,"Historical Results",438,337.89
"St. Lucia","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",33.96,26.94
"Sri Lanka","South Asia","Lower middle income",2010,0,0,0,"Historical Results",1585.1,976.22
"Lesotho","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",770.33,566.44
"Lithuania","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",265.87,127.75
"Luxembourg","Europe & Central Asia","High income",2010,0.16,2.89,1.54,"Historical Results",18.44,9.83
"Latvia","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",115.24,61.97
"Morocco","Middle East & North Africa","Lower middle income",2010,0,0,0,"Historical Results",3270.19,2061.28
"Moldova","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",287.2,174.4
"Madagascar","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",9165.14,7075.3
"Maldives","South Asia","Upper middle income",2010,0,0,0,"Historical Results",69.2,47.11
"Mexico","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",12941.69,7383.87
"Marshall Islands","East Asia & Pacific","Upper middle income",2010,0.46,7.67,6.14,"Historical Results",17,13.63
"North Macedonia","Europe & Central Asia","Upper middle income",2010,0.33,26.46,17.28,"Historical Results",81.82,53.44
"Mali","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",4530.07,3699.36
"Malta","Middle East & North Africa","High income",2010,0,0,0,"Historical Results",9.53,7.14
"Myanmar","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",9354.87,6897.39
"Montenegro","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",78.26,46.92
"Mongolia","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",396.65,353.29
"Mozambique","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",10064.76,8281.53
"Mauritania","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",869.97,657.25
"Mauritius","Sub-Saharan Africa","Upper middle income",2010,0,0,0,"Historical Results",136.86,94.89
"Malawi","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",8891.88,7263.31
"Malaysia","East Asia & Pacific","Upper middle income",2010,0,0,0,"Historical Results",2947.03,2417.91
"Namibia","Sub-Saharan Africa","Upper middle income",2010,0,0,0,"Historical Results",830.86,589.4
"Niger","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",1535.65,1314.59
"Nigeria","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",20390.18,15722.17
"Nicaragua","Latin America & Caribbean","Lower middle income",2010,0,0,0,"Historical Results",1327.02,901.67
"Netherlands","Europe & Central Asia","High income",2010,0.52,280.34,118.72,"Historical Results",550.12,232.96
"Norway","Europe & Central Asia","High income",2010,0.57,159.74,60.86,"Historical Results",285.96,108.96
"Nepal","South Asia","Lower middle income",2010,0,0,0,"Historical Results",7314.4,5703.76
"New Zealand","East Asia & Pacific","High income",2010,0.46,67.66,42.21,"Historical Results",150.1,93.64
"Oman","Middle East & North Africa","High income",2010,0,0,0,"Historical Results",172.06,131.53
"Pakistan","South Asia","Lower middle income",2010,0,0,0,"Historical Results",9669.43,6715.69
"Panama","Latin America & Caribbean","High income",2010,0.65,295.62,210.59,"Historical Results",464.08,330.6
"Peru","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",6877.94,4907.42
"Philippines","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",14773.65,10507.13
"Papua New Guinea","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",1887.38,1416.41
"Poland","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",2401.06,1481.04
"Portugal","Europe & Central Asia","High income",2010,0.88,479.22,237.95,"Historical Results",555.68,275.92
"Paraguay","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",2100.64,1541.82
"West Bank and Gaza","Middle East & North Africa","Lower middle income",2010,0,0,0,"Historical Results",462.32,351.1
"Qatar","Middle East & North Africa","High income",2010,0,0,0,"Historical Results",25.71,28.24
"Romania","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",2001.5,1179.43
"Russian Federation","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",6428.81,3351.3
"Rwanda","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",3039.77,2429.15
"Saudi Arabia","Middle East & North Africa","High income",2010,0,0,0,"Historical Results",864.95,606.51
"Sudan","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",3180.38,2466.55
"Senegal","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",5028.69,3961.4
"Singapore","East Asia & Pacific","High income",2010,0,0,0,"Historical Results",225.7,166.81
"Solomon Islands","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",158.78,113.53
"Sierra Leone","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",1083.8,878.54
"El Salvador","Latin America & Caribbean","Lower middle income",2010,0,0,0,"Historical Results",1054.23,809.35
"Somalia","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",2824.87,2380.73
"Serbia","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",807.12,462.06
"São Tomé and Príncipe","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",76.56,73.34
"Suriname","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",100.39,70.8
"Slovak Republic","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",404.61,201.41
"Slovenia","Europe & Central Asia","High income",2010,0.45,23.08,15.12,"Historical Results",52.35,34.28
"Sweden","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",380.4,160.97
"Eswatini","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",805.96,581.69
"Chad","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",1859.96,1558.92
"Togo","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",1192.25,936.2
"Thailand","East Asia & Pacific","Upper middle income",2010,0,0,0,"Historical Results",7958.36,5205.4
"Tajikistan","Europe & Central Asia","Lower middle income",2010,0,0,0,"Historical Results",675.01,503.97
"Turkmenistan","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",562.26,374.8
"Timor-Leste","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",185.66,139.97
"Tonga","East Asia & Pacific","Upper middle income",2010,0,0,0,"Historical Results",34.48,28.56
"Trinidad and Tobago","Latin America & Caribbean","High income",2010,0,0,0,"Historical Results",179.91,118.93
"Tunisia","Middle East & North Africa","Lower middle income",2010,0,0,0,"Historical Results",398.71,244.22
"Türkiye","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",3837.08,2514.32
"Tuvalu","East Asia & Pacific","Upper middle income",2010,0,0,0,"Historical Results",3.84,3.18
"Tanzania","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",28381.94,20777.1
"Uganda","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",18563.19,14831.35
"Ukraine","Europe & Central Asia","Lower middle income",2010,0,0,0,"Historical Results",2174.11,955.22
"Uruguay","Latin America & Caribbean","High income",2010,0,0,0,"Historical Results",249.54,166.19
"United States","North America","High income",2010,0.23,2531.52,1275.39,"Historical Results",11231.22,5658.32
"Uzbekistan","Europe & Central Asia","Lower middle income",2010,0,0,0,"Historical Results",2600.79,1751.88
"Vietnam","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",4870.4,3440.55
"Vanuatu","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",32.7,29.05
"Samoa","East Asia & Pacific","Lower middle income",2010,0,0,0,"Historical Results",22.83,18.27
"Kosovo","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",62.01,37.05
"South Africa","Sub-Saharan Africa","Upper middle income",2010,0,0,0,"Historical Results",12961.77,7579.34
"Zambia","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",9307.47,6690.3
"Zimbabwe","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",7443.45,5690.99
"Afghanistan","South Asia","Low income",2011,0,0,0,"Historical Results",3230.74,2499.36
"Angola","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",9056.44,6589.02
"Albania","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",148.51,89.93
"United Arab Emirates","Middle East & North Africa","High income",2011,0,0,0,"Historical Results",248.11,186.76
"Argentina","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",4705.88,3067.09
"Armenia","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",132.9,97.7
"Australia","East Asia & Pacific","High income",2011,0.63,418.79,224.71,"Historical Results",678.31,363.96
"Austria","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",229.7,119.55
"Azerbaijan","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",399.79,269.54
"Burundi","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",4057.68,3380.76
"Belgium","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",420.24,190.29
"Benin","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",1310.55,964.91
"Burkina Faso","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",2597.68,2151.93
"Bangladesh","South Asia","Lower middle income",2011,0,0,0,"Historical Results",13260.66,9256.25
"Bulgaria","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",424.74,230.84
"Bahrain","Middle East & North Africa","High income",2011,0,0,0,"Historical Results",36.82,24.37
"Bahamas, The","Latin America & Caribbean","High income",2011,0,0,0,"Historical Results",51.36,37.79
"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",225.56,124.44
"Belarus","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",393.98,180.72
"Belize","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",78.03,76.05
"Bolivia","Latin America & Caribbean","Lower middle income",2011,0,0,0,"Historical Results",2911.62,2197.94
"Brazil","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",22230.88,13398.62
"Barbados","Latin America & Caribbean","High income",2011,0,0,0,"Historical Results",33.77,22.96
"Brunei Darussalam","East Asia & Pacific","High income",2011,0,0,0,"Historical Results",48.39,15.83
"Bhutan","South Asia","Lower middle income",2011,0.69,55.58,37.11,"Historical Results",82.2,54.88
"Botswana","Sub-Saharan Africa","Upper middle income",2011,0,0,0,"Historical Results",663.14,460.59
"Central African Republic","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",790.24,647.94
"Canada","North America","High income",2011,0,0,0,"Historical Results",957.67,546.75
"Switzerland","Europe & Central Asia","High income",2011,0.51,76.97,41.75,"Historical Results",154.01,83.53
"Chile","Latin America & Caribbean","High income",2011,0,0,0,"Historical Results",1578.94,1082.22
"China","East Asia & Pacific","Upper middle income",2011,0,0,0,"Historical Results",70075.07,44317.51
"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",6052.4,4691.32
"Cameroon","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",5633.71,4166.81
"Congo, Dem. Rep.","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",20410.5,16321.25
"Congo, Rep.","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",967.28,670.89
"Colombia","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",6690.35,4578.24
"Comoros","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",335.3,258.24
"Cabo Verde","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",82.48,73.73
"Costa Rica","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",351.91,314.45
"Cyprus","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",35.94,44.69
"Czech Republic","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",360.08,217.4
"Germany","Europe & Central Asia","High income",2011,0.27,680.27,341.21,"Historical Results",2570.94,1289.53
"Djibouti","Middle East & North Africa","Lower middle income",2011,0,0,0,"Historical Results",103.93,82.98
"Denmark","Europe & Central Asia","High income",2011,0.68,191.55,88.9,"Historical Results",287.44,133.4
"Dominican Republic","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",2028,1653.66
"Algeria","Middle East & North Africa","Lower middle income",2011,0,0,0,"Historical Results",2447.19,1601.67
"Ecuador","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",3124.38,2190.44
"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income",2011,0,0,0,"Historical Results",2893.53,2173.46
"Spain","Europe & Central Asia","High income",2011,0.63,679.78,338.2,"Historical Results",1101.03,547.77
"Estonia","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",92.7,32.39
"Ethiopia","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",21491.91,17326.79
"Finland","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",121.29,52.92
"Fiji","East Asia & Pacific","Upper middle income",2011,0,0,0,"Historical Results",203.75,165.63
"France","Europe & Central Asia","High income",2011,0.22,567.81,269.59,"Historical Results",2633.6,1250.44
"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income",2011,0,0,0,"Historical Results",29.36,22.51
"Gabon","Sub-Saharan Africa","Upper middle income",2011,0,0,0,"Historical Results",462.68,282.18
"United Kingdom","Europe & Central Asia","High income",2011,0.83,1989.05,733.59,"Historical Results",2445.36,901.89
"Georgia","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",224.1,148.05
"Ghana","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",7304.51,5316.1
"Guinea","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",5121.73,4096.71
"Gambia, The","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",945.02,844.85
"Guinea-Bissau","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",556.16,451.51
"Equatorial Guinea","Sub-Saharan Africa","Upper middle income",2011,0,0,0,"Historical Results",218.1,143.57
"Greece","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",459.2,214.79
"Guatemala","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",3881.97,2787.31
"Guyana","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",222.43,140.21
"Honduras","Latin America & Caribbean","Lower middle income",2011,0,0,0,"Historical Results",1705.94,1171.35
"Croatia","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",219.55,109.05
"Haiti","Latin America & Caribbean","Lower middle income",2011,0,0,0,"Historical Results",1527.48,1265.8
"Hungary","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",666.99,281.71
"Indonesia","East Asia & Pacific","Lower middle income",2011,0,0,0,"Historical Results",50144.63,35681.5
"India","South Asia","Lower middle income",2011,0,0,0,"Historical Results",206323.86,148075.44
"Ireland","Europe & Central Asia","High income",2011,0.82,199.26,85.25,"Historical Results",247.96,106.09
"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income",2011,0,0,0,"Historical Results",1796.36,1495.66
"Iraq","Middle East & North Africa","Upper middle income",2011,0,0,0,"Historical Results",781.74,603.91
"Iceland","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",12.12,7.6
"Israel","Middle East & North Africa","High income",2011,0,0,0,"Historical Results",310.95,213.94
"Italy","Europe & Central Asia","High income",2011,0.53,794.29,299.56,"Historical Results",1529.25,576.74
"Jamaica","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",540.61,394.42
"Jordan","Middle East & North Africa","Upper middle income",2011,0,0,0,"Historical Results",304.71,243.07
"Japan","East Asia & Pacific","High income",2011,0,0,0,"Historical Results",6656.06,2435.63
"Kazakhstan","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",1418.62,741.54
"Kenya","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",13357.49,9417.61
"Kyrgyz Republic","Europe & Central Asia","Lower middle income",2011,0,0,0,"Historical Results",703.41,489.15
"Cambodia","East Asia & Pacific","Lower middle income",2011,0,0,0,"Historical Results",1894.36,1347.4
"Kiribati","East Asia & Pacific","Lower middle income",2011,0,0,0,"Historical Results",34.13,27.96
"Korea, Rep.","East Asia & Pacific","High income",2011,0,0,0,"Historical Results",2307.24,1241.7
"Kuwait","Middle East & North Africa","High income",2011,0,0,0,"Historical Results",58.65,43.28
"Lao PDR","East Asia & Pacific","Lower middle income",2011,0,0,0,"Historical Results",768.74,523.75
"Lebanon","Middle East & North Africa","Lower middle income",2011,0,0,0,"Historical Results",218.01,156.07
"Liberia","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",1695.83,1392.94
"Libya","Middle East & North Africa","Upper middle income",2011,0,0,0,"Historical Results",434.69,335.76
"St. Lucia","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",33.04,26.23
"Sri Lanka","South Asia","Lower middle income",2011,0,0,0,"Historical Results",1605.98,989.8
"Lesotho","Sub-Saharan Africa","Lower middle income",2011,0,0,0,"Historical Results",773.31,569.1
"Lithuania","Europe & Central Asia","High income",2011,0,0,0,"Historical Results",252.09,121.24
"Luxembourg","Europe & Central Asia","High income",2011,0.19,3.48,1.86,"Historical Results",18.69,9.98
"Latvia","Europe & Central Asia","High income",2011,0.58,65.27,35.16,"Historical Results",114.83,61.86
"Morocco","Middle East & North Africa","Lower middle income",2011,0,0,0,"Historical Results",3259.99,2055.39
"Moldova","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",272.47,165.72
"Madagascar","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",9416.7,7273.56
"Maldives","South Asia","Upper middle income",2011,0,0,0,"Historical Results",65.92,44.89
"Mexico","Latin America & Caribbean","Upper middle income",2011,0,0,0,"Historical Results",13004.17,7425.35
"Marshall Islands","East Asia & Pacific","Upper middle income",2011,0,0,0,"Historical Results",16.7,13.4
"North Macedonia","Europe & Central Asia","Upper middle income",2011,0.48,37.55,24.57,"Historical Results",79.82,52.24
"Mali","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",4715.47,3851.85
"Malta","Middle East & North Africa","High income",2011,0,0,0,"Historical Results",9.22,6.92
"Myanmar","East Asia & Pacific","Lower middle income",2011,0,0,0,"Historical Results",9491.66,7005.49
"Montenegro","Europe & Central Asia","Upper middle income",2011,0,0,0,"Historical Results",77.75,46.74
"Mongolia","East Asia & Pacific","Lower middle income",2011,0,0,0,"Historical Results",385.87,344.74
"Mozambique","Sub-Saharan Africa","Low income",2011,0,0,0,"Historical Results",10507.85,8651.2
